三明市清流县公安局	福建省三明市清流县
三明市将乐县公安局	福建省三明市将乐县
三明市梅列区公安局	福建省三明市梅列区
三明市建宁县公安局	福建省三明市建宁县
三明市永安市公安局	福建省三明市永安市
三明市三元区公安局	福建省三明市三元区
三明市明溪县公安局	福建省三明市明溪县
三明市大田县公安局	福建省三明市大田县
三明市尤溪县公安局	福建省三明市尤溪县
三明市宁化县公安局	福建省三明市宁化县
三明市泰宁县公安局	福建省三明市泰宁县
西宁市湟源县公安局	青海省西宁市湟源县
西宁市湟中县公安局	青海省西宁市湟中县
西宁市城东区公安局	青海省西宁市城东区
西宁市城西区公安局	青海省西宁市城西区
西宁市大通回族土族自治县公安局	青海省西宁市大通回族土族自治县
西宁市城北区公安局	青海省西宁市城北区
西宁市城中区公安局	青海省西宁市城中区
海北藏族自治州刚察县公安局	青海省海北藏族自治州刚察县
海北藏族自治州祁连县公安局	青海省海北藏族自治州祁连县
海北藏族自治州海晏县公安局	青海省海北藏族自治州海晏县
海北藏族自治州门源回族自治县公安局	青海省海北藏族自治州门源回族自治县
黄南藏族自治州同仁县公安局	青海省黄南藏族自治州同仁县
黄南藏族自治州河南蒙古族自治县公安局	青海省黄南藏族自治州河南蒙古族自治县
黄南藏族自治州尖扎县公安局	青海省黄南藏族自治州尖扎县
黄南藏族自治州泽库县公安局	青海省黄南藏族自治州泽库县
海西蒙古族藏族自治州德令哈市公安局	青海省海西蒙古族藏族自治州德令哈市
海西蒙古族藏族自治州格尔木市公安局	青海省海西蒙古族藏族自治州格尔木市
海西蒙古族藏族自治州乌兰县公安局	青海省海西蒙古族藏族自治州乌兰县
海西蒙古族藏族自治州茫崖市公安局	青海省海西蒙古族藏族自治州茫崖市
海西蒙古族藏族自治州都兰县公安局	青海省海西蒙古族藏族自治州都兰县
海西蒙古族藏族自治州天峻县公安局	青海省海西蒙古族藏族自治州天峻县
海西蒙古族藏族自治州大柴旦行政委员会公安局	青海省海西蒙古族藏族自治州大柴旦行政委员会
海东市乐都区公安局	青海省海东市乐都区
海东市民和回族土族自治县公安局	青海省海东市民和回族土族自治县
海东市平安区公安局	青海省海东市平安区
海东市互助土族自治县公安局	青海省海东市互助土族自治县
海东市循化撒拉族自治县公安局	青海省海东市循化撒拉族自治县
海东市化隆回族自治县公安局	青海省海东市化隆回族自治县
玉树藏族自治州曲麻莱县公安局	青海省玉树藏族自治州曲麻莱县
玉树藏族自治州囊谦县公安局	青海省玉树藏族自治州囊谦县
玉树藏族自治州玉树市公安局	青海省玉树藏族自治州玉树市
玉树藏族自治州治多县公安局	青海省玉树藏族自治州治多县
玉树藏族自治州称多县公安局	青海省玉树藏族自治州称多县
玉树藏族自治州杂多县公安局	青海省玉树藏族自治州杂多县
果洛藏族自治州玛多县公安局	青海省果洛藏族自治州玛多县
果洛藏族自治州玛沁县公安局	青海省果洛藏族自治州玛沁县
果洛藏族自治州久治县公安局	青海省果洛藏族自治州久治县
果洛藏族自治州甘德县公安局	青海省果洛藏族自治州甘德县
果洛藏族自治州班玛县公安局	青海省果洛藏族自治州班玛县
果洛藏族自治州达日县公安局	青海省果洛藏族自治州达日县
海南藏族自治州共和县公安局	青海省海南藏族自治州共和县
海南藏族自治州贵德县公安局	青海省海南藏族自治州贵德县
海南藏族自治州兴海县公安局	青海省海南藏族自治州兴海县
海南藏族自治州贵南县公安局	青海省海南藏族自治州贵南县
海南藏族自治州同德县公安局	青海省海南藏族自治州同德县
三亚市海棠区公安局	海南省三亚市海棠区
三亚市天涯区公安局	海南省三亚市天涯区
三亚市崖州区公安局	海南省三亚市崖州区
三亚市吉阳区公安局	海南省三亚市吉阳区
白城市洮南市公安局	吉林省白城市洮南市
白城市大安市公安局	吉林省白城市大安市
白城市吉林白城经济开发区公安局	吉林省白城市吉林白城经济开发区
白城市洮北区公安局	吉林省白城市洮北区
白城市通榆县公安局	吉林省白城市通榆县
